,food,description
28368,북어볶음,명태채 없음 명태 썰어 간마늘 파 후추 대파 식용류
28369,우유밥,쌀 물
28370,브리치즈치아바타샌드위치,브리치즈 치아바타 사과 슬라이스 햄 양상추 또는 샐러드 채소 적당량 마요네즈 술 홀그레인 머스터드 꿀
28371,짬뽕탕,오징어 홍합 새우 배추잎 청양초 대파 양파 당근 적당량 호박 적당량
28372,튀김꽃,남은잡채 또는 당면 김 튀김가루 물 얼음
28373,카레치즈덮밥,밥 카레 계란 모짜렐라 치즈 약간
28374,닭가슴살토마토스프,닭고기 반컵 토마토 계란 소금 후추 약간 파슬리 약간 전분 참기름
28375,무채무침,동치미 무채 식초 매실청 올리고당 통깨 참기름 다진마늘 대파 고추가루
28376,버터갈릭감자튀김,냉동감자 파슬리가루 약간 마요네즈 허니머스타드 우유 설탕 버터 다진마늘 슬라이스치즈
28377,젤리탕후루,젤리 설탕 물 물엿
28378,오리곰탕,오리 새끼 물 굵은소금 또는 꽃소금 청주 마른고추 생강 통마늘 통후추 월계수잎 정향 팔각 물 간마늘 국간장
28379,오징어밥전,통 오징어 밥 양파 청양고추 홍고추 썬 부추 마늘 부침가루 계란 식용유 적당히
28380,돼지고기목살육전,돼지고기 목살 대파 있으면 홍고추 소금 후추 밀가루 달걀 간장 식초 청양고추
28381,김치어묵콩나물국,국멸치 한 줌 건새우 한 줌 다시마 김치 김칫국물 콩나물 맛술 새우젓 고춧가루 대파 송송
28382,꿀귤에이드,귤 청 얼음 탄산수
28383,스팸두부조림,두부 양파 당근 스팸 작은거 육수 달걀
28384,불떡볶이,쌀떡볶이 매운 떡볶이 소스 치즈 파슬리 분말 어묵 적당량
28385,가자미부침,가자미 치자 밀가루 소금 식용유
28386,감자또띠아,감자 양파 파프리카 달걀 파마산치즈 소금 약간 후추 약간 올리브유 약간 치즈 적당량
28387,죽순삶기,비닐팩
28388,청양고추새우조림,건새우 청양고추 식용유 고추장 올리고당 생수
28389,단무지무침꼬마김밥,단무지 크래미맛살 밥 참기름 통깨 약간 소금 약간 후추 약간 고추가루 다진대파 참기름 올리고당 청양고추 통깨 약간
28390,냉이잡채,잡채 느타리 새송이 채썬당근 채썬양파 삼겹살 조금 냉이 나물 맛술 간장 소금 조금 깨소금 물 간장 물엿
28391,오징어새우호박찜,오징어 새우 배추잎 적당량 당근 적당량 호박 적당량 찜용 호박
28392,해물빈대떡,달걀 새우젓 물 오징어 쪽파 밀가루 양파 미나리 당근 붉은고추 부침기름 약간
28393,새우오징어간장볶음,오징어 새우 당근 적당량 호박 적당량 양파 후추 톡톡 카놀라유 약간
28394,골뱅이곤약채무침,골뱅이 오이 당근 곤약 채
28395,미나리돌솥비빔밥,밥 미나리 무 생채 조금 참기름
28396,햄쪽파계란말이,계란 스팸 햄 쪽파 식용유 약간
28397,딸기젤리푸딩,딸기젤리 딸기우유
28398,방울토마토,방울토마토 체다슬라이스치즈 칼라마타 올리브 사과식초 소금 약간
28399,돼지고기채소스튜,돼지고기 앞다리살 토마토 양파 당근 샐러리 감자 다진 마늘 홀토마토 토마토 소스 매운 고춧가루 파프리카 파우더 버터 식용유 소금 약간 후추 약간 브로콜리 사워크림 타임 식빵
28400,단호박야채샐러드,단호박 상추 케일 돌나물 약간 딸기
28401,곤약고구마조림,곤약 고구마 중간것 양파 청양고추 다진마늘 고추장 간장 깨 후추가루
28402,브로콜리맛살두부무침,브로콜리 두부 맛살 맛소금 참기름 깨소금 설탕 통깨 적당량
28403,치즈매쉬고구마,고구마 물 우유 슬라이스치즈 파슬리 조금 설탕
28404,간장양념,간장 식초 고춧가루 티스푼 올리고당 티스푼
28405,칠리새우브리또,냉동새우 버터 넉넉히 후추 적당량 또띠아 파프리카 단무지 캔옥수수 양상추 칠리소스 적당량
28406,또띠아달걀샌드위치,또띠아 달걀 양상추 토마토 오이 시리얼 케찹 마요네즈
28407,고구마찰떡,찹쌀가루 고구마 잣 또는 아몬드 달걀 우유 베이킹파우더 베이킹소다 설탕 꿀 소금 통깨 적당량
28408,크래미마요덮밥,양파 적당량 달걀
28409,납작탕수육,소고기등심 찹쌀가루 전분가루 달걀 물 약간 식용유 적당량 양파 파 당근 고추 다진마늘 고추기름 물 적당량 토마토케찹 레몬즙 간장 굴소스 설탕
28410,곱창샐러드,소곱창 소막창 팽이버섯 양송이 버섯 느타리 버섯 조금 부추 대파 양파 간장 식초 설탕 고추기름 통깨
28411,연근된장찌개,연근 대파 마늘 불고기용 쇠고기 애호박 양파 불린 표고 진간장 된장 물 고춧가루 두부 연근 불린 물
28412,냉이유채나물무침,냉이 유채나물 쪽파
28413,청양고추장물,청양고추 마늘 국멸치
28414,양배추들깨된장무침,양배추 된장 들깨가루 참기름 다진마늘 다진파 물 검은깨 조금
28415,땅콩러스크,식빵 녹인버터 설탕 땅콩분태 꿀 약간
28416,들깨시금치된장국,시금치 냉동새우 건표고버섯 들깨
28417,두부호박젓국,두부 애호박 새우젓 고추가루 다진마늘
28418,양지머리꽈리고추조림,양지머리 꽈리고추 새송이버섯 양파 사과 마늘 대파 통후추 물 맛술 생강 약간
28419,요거트치즈케이크,지름 원형틀 한개분 통 밀 쿠키 달걀 설탕 우유 플레인 요거트 설탕 달걀 박력분 우유 레몬즙 바닐라 익스트랙
28420,건고구마순볶음,삶은 고구마순
28421,닭가슴살룰라드,닭 그린빈스 고수 소금 닭 가슴살 제외 부위 대파 간장 청주 버터 컬리플라워
28422,견과류병아리콩조림,병아리콩 깐호두 깐땅콩 월계수잎
28423,마늘빵치즈샌드,다진마늘 올리고당 버터 식빵 피자치즈
28424,쟁반간짜장,춘장 설탕 간장 후추 다진생강 굴소스 돼지고기 양파 파 흰뿌리 부추 양배추 칼국수면
28425,황태포찜,황태포 쌀뜨물 튀김가루 식용유 넉넉히 대파 숙주 넉넉히
28426,세발나물두부샐러드,두부 세발나물 홍고추 청양고추
28427,꽃게크림스프,꽃게 양파 버터 밀가루 소금 후추 조금 파슬리 조금 견과류 조금 마무리용 우유 화이트와인이나 맛술
28428,시금치햄볶음,스팸 햄 시금치 청양고추 홍고추 대파 포도씨유
28429,딸기우유프렌치토스트,딸기 슬라이스 식빵 두꺼운거 우유 연유 계란 소금 아주 약간
28430,달래멸치무침,달래 멸치 간장 연두순 고춧가루 매실청 깨
28431,유채나물쪽파무침,유채나물 쪽파
28432,코코넛조림,마늘 당근 브로콜리 코코넛밀크 후추 소금
28433,브로콜리마늘빵,브로콜리 버터
28434,골뱅이와인찜,골뱅이 양배추 홍고추 다진 마늘 화이트와인 골뱅이캔 국물 간장 치킨스톡 농축액 버터 허브 시즈닝 약간 후추 약간씩
28435,베이컨양파링,양파 튀김가루 빵가루 베이컨 달걀
28436,스파이시돈가스,돈가스 청양고추 홍고추 피망 돈가스 소스 버터 후추 약간 다진 양파 다진 당근 물 올리고당 달걀
28437,당면어묵탕,분모자 당면 중국 당면 무우 종합 어묵 홍고추 마른 홍고추 대파 팽이버섯 청고추 다시마 멸치 마른홍고추 고추가루 간마늘 찐 달걀 소금 멸치액젓
28438,늙은호박된장국,늙은 호박 표고버섯 청양고추 홍고추 두부 감자 양파 대파 디포리 된장 다진 마늘 간장 소금 약간
28439,롤치즈풀먼식빵,강력분 물 이스트 제빵 계량제 소금 설탕 버터 계란 분유
28440,쉬림프링볶음,새우 쉬림프링 홍고추 쪽파 마늘 올리브유 파슬리가루 약간
28441,딱새우된장국,황태껍질 물 양파 감자 애호박 양배추 배추 팽이버섯 두부 고추 가지 딱새우 그대로된장찌개
28442,도다리조림,말린 도다리 양파 고추가루 간장 국간장 청주 매실청 올리고당 후추 참기름 다진마늘 대파
28443,사우어크라우트김치찌개,돼지고기 삼겹살 적당량 양배추 피클 사우어크라우트 고추가루 대략 반컵에서 파 고추 빻은 마늘 참치캔 버섯 적당량 간장 참치액젓
28444,튀김강정,냉동 모듬튀김 땅콩 식용유 약간 고추장 케찹 물엿 다진 마늘 다진 대파 다진 양파 물 후추 약간
28445,달걀크로켓,달걀 참치 다진 당근 다진 양파 다진 백김치 다진 브로콜리 식초 설탕 소금 마요네즈 피클 밀가루 빵가루 튀김유
28446,식빵토스트,식빵 달걀 마요네즈 딸기잼 적당량 파슬리가루 약간
28447,메추리알돼지안심장조림,돼지안심 깐메추리알 통후추 대파 양파 건표고버섯 통마늘 소주
28448,소세지간장조림,분홍 소세지 대파 적당량
28449,배추앞다리살찜,한 컵 다진파 한 줌 청양고추 고기 볶는 간장 양파 고기용 소금 고기용 후추 조금
28450,아보카도에그베네딕트,식빵 달걀 시금치 아보카도 베이컨 버터 달걀 녹인버터 올리브유 레몬즙 소금 약간 홀그레인 머스터드 약간
28451,스팸파전,튀김가루 약 생수 스팸 청양고추 쪽파 계란
28452,감자크림파스타,감자크림파스타
28453,건가지탕수,건 가지 브로콜리 조금 파프리카 각 당근 약간 양파 전분 달걀 전분물 전분 물 소스물 물 간장 설탕 식초 카놀라유 적당량
28454,치킨텐더모닝빵,치킨 텐더 모닝빵 또띠아 크림치즈 체다슬라이스치즈 양상추 크래미 케첩
28455,오픈달걀토스트,식빵 베이컨 달걀 피자치즈 약간 파슬리 가루 약간
28456,모닝빵단호박계란샐러드,모닝빵 찐 단호박 삶은계란 양배추 오이 맛살 마요네즈 올리고당 소금 약간
28457,칵테일새우탕,칵테일새우 대파 양파 새송이버섯 올리브유 다진청양고추 다진홍고추 소꼬리육수 또는 사골육수 계란
28458,가리비짬뽕,홍가리비 갑오징어 야채들 청경채 호박 양파 양배추 양송이 당근 대파 청양고추 두반장 굴소스 참치액젓 맛술 고춧가루 다진마늘 대파 페퍼론치노 기름
28459,주꾸미연포탕,주꾸미 이상 바지락 표고버섯 쑥갓 파 송송 소금 적당량 자박하게 썰은 무 멸치 건새우 다시마
28460,달걀마요덮밥,달걀 양파
28461,돼지수육삶는법,돼지고기 된장 통마늘 통후추 월계수잎 양파 커피
28462,식빵부침,식빵 흑설탕 케찹
28463,봄동된장나물,봄동 데친것 소금 약간
28464,참나물오이무침,참나물 오이 홍고추 청양고추 다진대파
28465,사과바나나귀리주스,바나나 사과 귀리 가루 우유
28466,쇠고기강된장,쇠고기 다진것 양파 버섯 대파 마늘 청양고추
28467,야채크림파스타,양파 새송이버섯 감자 브로콜리 배춧잎 양배추 마늘 방울토마토 다진마늘 올리브유 조금 후추 조금 소금 조금 파스타면 생크림 우유
28468,톳당근무침,톳 당근 쪽파 청양고추 천일염 약간
28469,두부달걀스크램블덮밥,두부 달걀
28470,치즈만두밥,밥 만두 진간장 피자치즈
28471,홍삼삼겹살수육,통삼겹살 대파 마늘 생강 된장 홍삼정 물 작은 크기 양파 부추 간장 와사비
28472,치즈계란말이김밥,밥 김밥용 김 롱 치즈 계란 다진 파프리카 다진 양파 피클 렐리쉬 소금 후추 약간 참기름
28473,계란국수,계란 애호박 당근 대파 소금 조미김 찹쌀가루 멸치 무 대파 국간장 물
28474,딸기초코칩머핀,박력분 설탕 버터 계란 소금 베이킹소다 베이킹파우더 물 탈지분유 초코칩 코코아파우더
28475,감말랭이무침,재료 감 말랭이 고추장 고추가루 양조간장 매실청 올리고당 통깨 약간
28476,표고버섯무침,표고버섯 대파 파란부분 다진마늘
28477,컬리플라워치즈감자전,커리플라워 잔파 쪽파 체다치즈 잘게자른것 감자전분가루 달걀
28478,파블로바,달걀흰자 설탕 전분 바닐라에센스 약간 생크림 크림치즈 설탕 딸기 블루베리 슈가파우더
28479,새우크림카레우동,일본 카레 우동면 새우 양파 물 우유 생크림
28480,쑥털털이,쑥 습식 멥쌀가루
28481,베이컨모짜렐라치즈토스트,식빵 구워먹는 모짜렐라 치즈 체다치즈 슬라이스 베이컨 샐러드 채소 방울토마토 버터 약간
28482,숙주삼겹살볶음,돼지고기 숙주 약
28483,미나리두부무침,두부 미나리
28484,꼬막달래비빔밥,참 새싹야채 양파껍질
28485,뚝심카레구이,햄 뚝심 계란 파슬리 조금 밀가루 카레가루
28486,오징어냉이무침,오징어 냉이 다진쪽파 다진청양고추
28487,단호박오곡밥,재료 불린 찹쌀 불린 흑미 불린 차조 불린 찰 수수 팥 대추 밤 단호박 소금 재료 소금 물
28488,우엉고추잡채,당면 간돼지고기 고추 우엉 생강 엄지손가락크기 물 식초 굴소스 진간장 전분가루 흑설탕 물 물 참기름
28489,머그쵸콜렛케익,우유 인스턴트커피 버터 가는소금 는둥만둥 쵸콜렛칩 밀가루 베이킹파우더 식용유
28490,홍합달래전,달래 홍합 조금 부침가루 계란
28491,콩나물베이컨볶음,베이컨 콩나물 꽈리고추 쪽파
28492,돼지껍데기구이,돼지껍데기 된장 밥숟가락 소주 파뿌리
28493,쑥컵케이크,버터 빙수용 인절미가루 아몬드가루 꿀 쌀 박력분 쑥가루 계란 설탕 베이킹파우더 식용유 바닐라익스트랙 우유
28494,크래미쪽파말이,쪽파 크래미 천일염 약간 초고추장 적당히
28495,크림치즈말차케익,크림치즈 무염버터 비정제원당 소금 달걀 유기농 박력분 아몬드가루 베이킹파우더 말차가루
28496,누들샐러드,파스타면 누들 바질페스토 살라미 햄 적당량 파프리카 토마토 양파 작은거 사과 계란 로메인 상추 궈다 치즈 소금 올리브유
28497,야채스틱,아스파라거스 오이 파프리카 당근 연두부 캐슈넛 레몬즙 올리브유 소금 나트비아
28498,메추리다리오븐구이,메추리고기 살 수 있는 만큼 양파 파 마늘 당근 가지 감자 호박 식용유 조금 소금 조금 후추 조금
28499,모카크림브륄레,생크림 노른자 설탕 인스턴트커피 바닐라익스트랙
28500,쑥냉이전,냉이 조갯살 밀가루 튀김가루 달걀 육수 멸치 액젓 콩기름 약간
28501,달래장전복밥,전복 쌀 참기름 달래장 약간
28502,참치쪽파전,참치캔 쪽파 마늘 청양고추 홍고추 계란 식용유 약간
28503,감자계란오븐구이,달걀 베이컨 잔파 또는 쪽파 헤비 크림 파마잔 치즈 갈릭파우더 소금 후추
28504,명태탕,반건조 명태 두부 무 청양고추 홍고추 다진마늘 대파 콩나물 천연조미료육수 새우젓 청주 북어대가리 새우대가리 천연조미료 파뿌리 표고버섯기둥 양배추심지
28505,토마호크스테이크,토마호크 스테이크 소금 약간 후추 약간 올리브오일 약간 양파 새송이버섯
28506,주꾸미냉이무침,주꾸미 냉이 고추장 식초 올리고당 고춧가루 마늘 깨소금
28507,햄크래미야채계란전,달걀 햄 적당량 크래미 대파 적당량 당근적당량
28508,스팸계란말이김밥,당근 식용유 소금 스팸 계란 후추 데친 시금치 국간장 참기름 갈은깨 단무지 깻잎 구운 김밥 김 적당량 고슬하게 한 밥 참기름 소금 통깨
28509,꿀아몬드식빵,옥수수 식빵 버터 설탕 꿀 물엿 생크림 아몬드 소금 두 꼬집 커스타드 크림 아몬드가루
28510,계란또띠아피자,달걀 모짜렐라 치즈 적당량 케찹 식용유 소금
28511,브로콜리맛살마요네즈무침,마요네즈
28512,애플크럼블쿠키,사과 설탕 계피가루 박력분 아몬드가루 베이킹파우더 설탕 차가운 무염버터 달걀 바닐라익스트랙 무염버터 설탕 달걀 바닐라익스트랙 박력분 아몬드가루
28513,왕갈비통닭,볶음용 닭 물 대파 청양고추 홍고추
28514,레인보우푸딩,하리보 젤리 종이컵
28515,삼겹살고추장스파게티,삼겹살 양파 치커리 상추 볶은김치 조금만
28516,크림치즈사탕마카롱,아몬드가루 슈가파우더 흰자 설탕
28517,제노와즈,박력분 전란 바닐라엑스트렉
28518,라면밥,쌀 물 라면 눌은 밥 적당량 물 라면스프
28519,시금치계란파이,시판 파이 크러스트 크림치즈 달걀 양파 시금치 파마산치즈 가루 소금 후추 레시피내용참고
28520,무채전,무 청양고추 홍고추 부침가루 물 간장 맛술 고춧가루 약간 참기름 약간
28521,겨울초쪽파무침,겨울초 쪽파 참기름 다진마늘 갈은깨 된장
28522,고구마요거트샐러드,고구마 삶은계란 그릭요거트 시나몬가루 조금 소금 조금 아몬드 우유
28523,청양고추파래전,파래 물파래 소금 식용류
28524,닭안심까스,닭안심살 달걀 튀김가루 빵가루 솔트 파프리카 가루 기름
28525,트러플짜장라면,짜장라면 트러플오일 계란노른자
28526,칠게장,칠 게 양파 건고추 청양고추 통마늘 고추가루 생강술 멸치액젓 청주 설탕 간생강
28527,풋마늘초고추장무침,풋마늘 소금 약간 고추장 사과발효액 다진마늘 참기름 식초 통깨
28528,사골우거지배추국,무우 데친 얼갈이 풋고추 홍고추 대파 사골육수 또는 꼬리육수
28529,레몬크림치즈우유,레몬 크림치즈 우유 설탕 바닐라 아이스크림
28530,어묵비엔나소시지볶음,사각어묵 비엔나소시지 양파 당근
28531,대패삼겹살김치볶음밥,배추김치 밥 대패 삼겹살 쪽파 달걀 들기름 통깨 약간 후춧가루 약간 식용유 설탕 고춧가루 굴 소스 간장 동량
28532,시금치보관,시금치 굵은소금
28533,누룽지크림스프,무염버터 중력분 우유 슬라이스치즈 누룽지 치킨스톡 소금 약간 후추 약간 파슬리가루 약간
28534,꽃등심,소고기 꽃등심 양송이버섯 로즈마리 약간 스테이크 시즈닝 약간
28535,참치달래전,달래 참치캔 튀김가루 찬 생수
28536,들기름대파달걀프라이,달걀 대파
28537,스팸감자채볶음,감자 스팸 빨강 파프리카 초록 파프리카 식용유
28538,모짜렐라치즈피자,또띠아 모짜렐라치즈 취향껏 연유 취향껏
28539,시금치치킨데리야끼,닭다리살 대파 시금치 식용유 적당량 해쉬브라운 케찹 약간 바게트빵
28540,계란간장밥,유정란 밥 쪽파 약간 간장 약간
28541,양배추미트볼,돼지고기간것 양배추 전분 식용유 넉넉하게 진간장 설탕 돈까스소스 참기름 마늘 맛술 전분 후추 약간 케찹 올리고당 맛술 마늘 진간장 돈가스소스 고추장
28542,참깨튀일,참깨 박력분 계란 설탕 식용유 참깨 우유 커피 설탕 토핑용 참깨 토핑용 참기름
28543,콩물바나나스무디,시판용 콩물 바나나 물
28544,오이김치소박이,부추 당근
28545,카레라이스덮밥,카레 양파
28546,닭계장국수,닭고기 양파 대파 당근 풋고추 홍고추 월계수잎 계란
28547,무말랭이간장무침,무말랭이 간장 통깨 참기름 쪽파 마늘 올리고당 약간
28548,도라지맛탕,깐 도라지 설탕 올리브 오일 물엿 검은깨 물
28549,마늘카레,돼지고기 카레용 양파 당근 감자 브로콜리 카놀라유 물 마늘
28550,달걀연유토스트,식빵 달걀 우유 연유 소금 약간
28551,스팸계란밥전,리챔 작은것 밥 양파 조금 당근 조금 쪽파 조금 소금 식용유 약간
28552,딸기바나나귀리우유,우유 딸기 바나나 귀리 가루
28553,비빔야채수육,콩나물 조금 무채 조금 볶은 당근 조금 시금치나물 조금 애호박 나물 조금 버섯 조금 고기 수육 초고추장
28554,김치만두전,익은김치 만두 계란 부침가루 물
28555,계란치즈밥,계란 스팸 다진파 간장 체다치즈 모짜렐라 치즈 소금 후추 약간
28556,완두콩퓨레,관자 컬리플라워 완두콩 빵가루 파마산치즈 밀가루 계란 완두콩 치킨스톡 소금
28557,민어,민어 당근 애호박 냉이 밀가루 소금 후추 화이트와인 샬롯 타임 버터 소금 레몬즙
28558,계란감자샐러드,감자 달걀 샐러리 잔파 쪽파 베이컨 소금 크게 후추가루 크게 스리라차 핫소스 흑설탕 마요네즈
28559,단호박우유,단호박 우유 꿀 호박씨 약간
28560,쪽파대패삼겹살비빔국수,대패 삼겹살 허브솔트 소면 쪽파 초고추장 고추가루 다진마늘 식초 매실청 참기름 통깨
28561,나박김치말이국수,샘표 만능 냉 육수 소면 나박 김치 오이 통깨
28562,참깨크래커,박력쌀가루 아몬드가루 통깨 황설탕 달걀 우유 포도씨유
28563,관자비빔밥,관자 소금 조금 후추 조금
28564,묵은지제육볶음,삼겹살 양파 묵은지 반포기 대파
28565,석류야채요거트,플레인요거트 석류 토마토 오이 소금 민트나 바질 조금 견과류 조금 설탕
28566,미역라면,불린미역 대파 건새우 고운고춧가루 고춧가루 기름 라면 달걀 물
28567,참치간장볶음밥,참치 계란 대파 약간 맛살
28568,옥수수체다치즈머핀,유기농 박력분 옥수수가루 베이킹파우더 무염버터 비정제원당 소금 우유 옥수수캔 체다치즈
28569,다이제초코케이크,먹다 남은 다이제 초콜릿 적당량 우유 앗 뜨거 물
28570,연근부각,연근 찹쌀 치자열매 비트 소금 식초
28571,떡볶이간장구이,밀떡볶이 올리고당 참기름 간장
28572,소시지베이컨말이,비엔나소시지 베이컨 설탕 아가베시럽 또는 올리고당 적당량 꼬지
28573,아보카도명란마요덮밥,밥 아보카도 오이 이외집에있는재료 참기름 달걀 김가루 명란젓 마요네즈 고추냉이
28574,튀김칼국수,튀김칼국수
28575,봄나물리조또,목우촌뚝심 햄 슬라이스치즈 달래 참나물 우유 양파 마늘 후추 소금 올리브오일 밥
28576,케찹계란치즈밥,달걀 밥 케찹 소금 한 꼬집 치즈 우유 혹은 생크림 식용유
28577,방풍나물밥,쌀 방풍나물 부추 진간장 설탕 올리고당 고춧가루 다진마늘 다진홍고추 들기름 깨 다시마물
28578,총알버섯장아찌,건조총알 버섯 청양고추 아삭이고추 홍고추
28579,스팸마요,계란 스팸 흰밥
28580,주꾸미새우찜,쭈꾸미 새우 양배추 양파 고추 쪽파
28581,계란빵피자,계란 양파 모닝빵 짱구 과자 피자치즈 토마토소스 술 소금 파슬리가루 식용유 약간
28582,사과바나나귀리요거트우유,요거트 우유 사과 바나나 귀리 가루
28583,라이스푸딩,찬밥 우유 설탕 계란노른자 바닐라빈 무염버터
28584,새우떡강정,새우 떡 양파 튀김가루 감자전분 고추장 케첩 칠리소스 올리고당 설탕 맛술 다진 마늘 물
28585,에그인더미들,식빵 달걀 소금 약간 파슬리가루 약간
28586,간장닭날개구이,닭날개 우유 간장 굴소스 올리고당 다진 마늘 맛술 소금 약간 후추 약간
28587,몸국,돼지등뼈 모자반
28588,우엉땅콩조림,볶은 땅콩 우엉 호두 현미유 기름 참기름 통깨
28589,묵은지등갈비,등갈비 인스턴트 커피 홍고추 월계수잎 된장 양파 청양고추 대파 물 묵은지 묵은지 국물 국간장
28590,대패삼겹살반미,바게트빵 대패삼겹살 양파 당근 오이 오이고추 쌈무 느억맘소스 설탕 식초 멸치액젓 다진마늘 설탕 간장 굴소스 맛술 다진마늘
28591,당근채무침,당근 현미식초 천일염 통깨 작은 파 마늘 사과 효소
28592,콩나물세발나물무침,콩나물 세발나물 다진청양고추 다진홍고추 다진대파 천일염 약간
28593,달걀수플레,달걀 설탕 식용유 조금
28594,비엔나소세지야채볶음,비엔나소세지 떡볶이 떡 양파 표고버섯 케첩 굴소스 올리고당 고추장 깨 톡톡 참기름
28595,새송이버섯아롱사태조림,아롱사태 양파 새송이버섯 달걀 대파
28596,소세지베이컨달걀오므라이스,소세지 베이컨 감자 양파 계란 밥
28597,골뱅이참나물무침,골벵이 참나물 양파 배 쪽파 적당량
28598,단호박고구마스프,찐단호박 군고구마또는 삶은고구마 우유 꿀
28599,미니언즈달걀초밥,밥 체다치즈 김 약간 검은깨 약간 식초 설탕 소금 약간 달걀 다시마육수 맛술 소금 약간
28600,에그호박덮밥,애호박 고춧가루 참기름 밥 참깨 계란 노른자 간장
28601,설렁탕계란죽,찬밥 계란 조미김 조금 시판용 설렁탕 포장팩 물 국그릇으로
28602,연어파운드케이크,파운드틀이나 오란다 한개분 계란 소금 카놀라유 플레인 요거트 메이플 시럽 우유 홀그레인 머스터드 후추 약간 박력분 베이킹파우더 훈제연어 양파
28603,계란탕수,계란 양파 당근 튀김가루 파슬리가루 약간 소금 후추 간장 설탕 식초
28604,베이컨마요덮밥,간장 마요네즈 후춧가루 약간 마늘 베이컨 밥 양상추 달걀
28605,조림닭,맛술 다진마늘 참기름 참깨 볶음탕용 닭 대파 당근 감자 청양고추 홍고추 간장 굴소스 설탕 물엿 생강즙 물 후춧가루 약간 맛술
28606,계란부르스케타,계란 바게트빵 토마토 아보카도 슬라이스치즈 버터 마요네즈 소금 후추 허니머스타드소스
28607,냉이미나리춘권,냉이 미나리 달걀 양파 소금 후추 전분가루 물 소금
28608,에그불고기햄버거,햄버거 빵 양상추 달걀 시판 떡갈비 데리야키소스 마요네즈 약간 버터
28609,봄동전부침개,봄동 당근 소금
28610,어니언치즈스콘,박력분 베이킹파우더 설탕 소금 차가운 무염버터 달걀 우유 양파 피자치즈 피자치즈 적당히 파슬리가루 약간
28611,머랭계란빵,계란 모닝빵 버터 약간 피자치즈 약간 설탕 조금
28612,도미구이,도미 과 생선 도라데 소금 후추 밀가루
28613,어니언에그샌드위치,모닝빵 양파 달걀
28614,고구마채볶음,고구마 고추가루 식용유 소금
28615,팽이버섯야채참치전,참치캔 팽이버섯 당근 양파 대파 청양고추 계란 후추 약간 소금 약간
28616,스파클링티,애플민트 얼음 씨그램 탄산수 적당량 허니 레몬 블랙티 적당량 과일 얼음 씨그램 탄산수 적당량 허니 자몽 블랙티 적당량
28617,더덕김밥,더덕 달걀 부추 김
28618,보리새우아욱국,아욱 보리새우
28619,맥앤치즈마카로니샌드위치,모닝빵 마카로니 소금 큰술 베이컨 장 체다 슬라이스 치즈 우유 컵 설탕 작은술 버터 큰술 밀가루 큰술 소금 약간 후춧가루 약간 파슬리가루 약간
28620,차돌박이오징어볶음,양파반개
28621,고추장아찌고추장무침,간장고추장아찌 기준 고춧가루 고추장 설탕 통깨
28622,양배추장떡,양배추 청양고추 양파 부침가루 고추장 된장 물
28623,오이당근무침,오이 당근 청양고추 쪽파 천일염 설탕
28624,식빵케익,식빵
28625,레드키위아이스크림,레드키위 다크초콜릿 우유
28626,시금치감자스프,시금치 양파 작은거 감자 물 우유 치킨스톡 작은거 소금 후추 체다치즈
28627,파파이스비스킷,박력분 베이킹파우더 소금 설탕 버터 계란 바닐라에센스 우유
28628,불닭발구이,닭발 닭똥집 청주 매운 양념 고춧가루 고추장 다진마늘 불맛향미유 기름 캡사이신 양조간장 후추 설탕 통마늘 썬파 통깨 참기름
28629,쑥두부무침,쑥 두부 아몬드 소금 약간
28630,포도송이젤리,곤약 분말 식용색소 블루메이드 한천젤리믹스 포도맛 구슬젤리 몰드 이쑤시개
28631,고구마사과양갱,분말 한천 백앙금 설탕 물엿 꿀 식용색소 레드 고구마 사과모양틀
28632,느타리버섯불고기,소고기 느타리버섯 양파 시판용 불고기 양념
28633,양배추카레,양파 양배추 소시지 카레가루 물 소금 후춧가루
28634,청경채부추무침,청경채 부추 쏭쏭 썬 달래 국간장 매실청 참기름 갈은깨 다진마늘
28635,트러플크림파스타,프레스코 트러플 크림 소스 페투치네 면 후추 약간 파마산 치즈 약간 양파 베이컨
28636,바다장어양념구이,장어 배추 양배추 대파 당근 표고버섯 생강 약간 양조간장 참기름 통후추간것 넉넉하게 맛술 양조간장 고추장 마늘 고춧가루 올리고당 생강조청 맛술 참기름 물
28637,육개장떡국,육개장 국물 떡국떡 대파 계란 소금 숙주 데친거
28638,햄브로콜리로제파스타,햄 브로콜리 로제 소스 파스타 면 올리브오일 소금
28639,들깨새송이버섯볶음,말린 새송이버섯
28640,게살에그샌드위치,계란 크레미 양파 피클 찹 마요네즈 올리고당 레몬즙 파슬리가루 토마토
28641,천혜향스무디,천혜향 요거트파우더 우유 얼음
28642,꿀떡간장볶이,당근 쪽파 떡 비엔나소세지 사각어묵 간장 다진마늘 올리고당 참기름
28643,김치완자전,매운김치 만두 소 달걀 밀가루 소금
28644,앞다리살비빔국수,소면 돼지앞다리살 약간 김치 약간 김 약간 오이 조금씩
28645,돼지고기고추장주물럭,돼지고기 대파
28646,갈릭토스트,식빵 버터 다진마늘 연유
28647,드라이토마토,방울토마토 올리브유 바질가루 로즈메리 타임 후추 약간 올리브유 넉넉히 편썬 마늘
28648,오징어순대버터구이,오징어 돼지고기 혹은 소고기 다진 것 두부 양파 큰 것 당근 파프리카 풋고추 혹은 청량고추 버섯 계란 쪽파 두 쪽
