food,description
칠리새우,블랙타이거새우 약 녹말가루 계란 다진마늘 다진 대파 파프리카 다진것 약간 파슬리가루 약간 식용유 물 물 녹말가루 소금 약간 후추 약간 두반장 고추기름 케첩 설탕 매콤한 굴소스 고운 고춧가루
노오븐마늘빵,식빵
초코칩쿠키,밀가루 버터 황설탕 계란 베이킹소다 소금 커피액기스 코코아가루 호두 초코칩 설탕
장미꽃쿠키,버터 슈가파우더 박력분 딸기시럽 우유
몬테크리스토,식빵 슬라이스 햄 슬라이스 치즈 닭가슴살 튀김가루 얼음물 달걀
계라주먹밥,밥 당근 데친 시금치 계란 오징어젓갈 약간 밥 콩잎 적당량 청양 고추 명란젓갈 약간
시금치크림스파게티,시금치 양파 식용유 잣 파 조금 스파게티면
블루베리타르트,아몬드슬라이스 분당 조금 버터 아몬드가루 박력분 소금 조금 계란 설탕 찬버터 설탕 박력분 소금 조금 냉동블루베리 설탕 레몬즙
탕평채,청포묵 소고기 잡채용 미나리 계란 조미김 진간장 다진파 다진마늘 참기름 설탕 조금 깨소금 후춧가루 조금 소금 조금 깨소금 참기름 소금 조금 깨소금 참기름
사블레린처쿠키,버터 삶은 노른자 슈가파우더 중력분 아몬드가루
달래콩나물밥,콩나물 달래 당근
피넛버터머핀,박력분 버터 피넛버터 계란 우유 깔루아 설탕 베이킹 파우더 인스턴트커피 슈가파우더 찬물
메추리알꼬치,메추리알 튀김가루 통깨 약간 튀김가루 찬 맥주 고추장 케첩 간장 물엿 설탕 과일즙 통깨
봉골레스파게티,정도 바지락 건고추 작은것 통마늘 화이트와인 파마산치즈가루 적당량
스트로베리치즈케이크,원형틀 또는 파이틀 한개분 크림치즈 설탕 플레인요거트 딸기 나파쥬 광택제 약간 생크림 판젤라틴 레몬즙 바닐라설탕 버터 파이시트 다이제스티브쿠키 대체가능
초코브라우니,초콜렛 버터 설탕 우유 계란 커피술 박력분 베이킹파우더 호두 병조림 체리 샹티크림 조금
카프레제크로와상샌드위치,크로와상 생모짜렐라치즈 토마토 적당량 바질 약간
